screen_android,screen_pwa,status,gap,categoria,severidade,acao,justificativa_tecnica,evidencia_codigo
HomeScreen.kt,HomeScreen.tsx,MAP_1_1,"Paridade parcial de hero/cards; navegação de atalhos diverge para tabs diferentes",BUG_PARIDADE,P0,ajustar agora,"Jornada principal; impacto alto na percepção de produto","AppShell.kt:257; HomeScreen.kt; App.tsx:470; HomeScreen.tsx"
SpeedTestScreen.kt,SpeedTestScreen.tsx,MAP_1_1,"Estrutura geral compatível, mas densidade/ordem de blocos e affordances não está uniforme",BUG_PARIDADE,P0,ajustar agora,"Tela central de valor; precisa convergir layout first","AppShell.kt:292; SpeedTestScreen.kt; App.tsx:366; SpeedTestScreen.tsx"
VelocidadeScreen.kt,RunningScreen.tsx,MAP_1_1,"Estado de execução com tratamento visual diferente (header/context line/progress semantics)",BUG_PARIDADE,P0,ajustar agora,"Impacta continuidade de fluxo Start→Running","VelocidadeScreen.kt; RunningScreen.tsx; App.tsx:380"
ResultadoVelocidadeScreen.kt,ResultScreen.tsx,MAP_1_1,"Estrutura de resultado rica em ambos, mas hierarquia visual e agrupamento dos cards difere",BUG_PARIDADE,P0,ajustar agora,"Fase de maior retenção/compartilhamento; precisa padronização","ResultadoVelocidadeScreen.kt; ResultScreen.tsx; App.tsx:398"
HistoricoScreen.kt,HistoryScreen.tsx,MAP_1_1,"Similaridade funcional; diferenças de header/ação primária e blocos de insight",BUG_PARIDADE,P0,ajustar agora,"Fecha jornada crítica definida no plano","AppShell.kt:337; HistoryScreen.tsx; App.tsx:460"
OrbitScreen.kt / ChatScreen.kt,PulseScreen.tsx,MAP_1_N,"Modelo visual do diagnóstico conversacional diverge (top bar, bolhas, estados intermediários)",DECISAO_PRODUTO,P1,onda seguinte,"Base técnica diferente, mas precisa guia de convergência visual mínima","OrbitScreen.kt; ChatScreen.kt; PulseScreen.tsx; App.tsx:447"
AjustesScreen.kt,ExploreScreen.tsx,MAP_1_1,"IA de layout de configurações diverge em agrupamento e ritmo de leitura",BUG_PARIDADE,P1,onda seguinte,"Menor impacto que jornada speedtest, mas alto uso recorrente","AppShell.kt:349; ExploreScreen.tsx; App.tsx:428"
SinalScreen.kt,LocalWifiScreen.tsx,MAP_1_1,"Divergência esperada em dados disponíveis no browser e diferenças de cards técnicos",LIMITACAO_WEB,P1,manter com justificativa,"Browser não expõe todos os sinais locais; paridade 100% é impossível","SinalScreen.kt; LocalWifiScreen.tsx; App.tsx:441"
DispositivosScreen.kt,LocalNetworkScreen.tsx,MAP_1_1,"Estrutura próxima, mas taxonomia visual de lista/detalhe e controles divergente",BUG_PARIDADE,P1,onda seguinte,"Dá para convergir sem dependência de API nativa adicional","DispositivosScreen.kt; LocalNetworkScreen.tsx; App.tsx:443"
FibraScreen.kt,FibraScreen.tsx,MAP_1_1,"Mesmo domínio, porém linguagem visual e prioridade de seções diferente",BUG_PARIDADE,P1,onda seguinte,"Tela especializada; convergência incremental segura","FibraScreen.kt; FibraScreen.tsx; App.tsx:445"
OnboardingScreen.kt,OnboardingScreen.tsx,MAP_1_1,"Overlay de onboarding existe nos dois, com ritmos e micro-layout diferentes",DEBITO_UI,P2,onda seguinte,"Impacto inicial, mas não bloqueia fluxo crítico","OnboardingScreen.kt; OnboardingScreen.tsx; App.tsx:493"
DiagnosticoScreen.kt (hub legado),DiagnosticScreen.tsx,MAP_N_A,"Tela PWA existe no código mas não está na navegação canônica",DEBITO_UI,P1,ajustar agora,"Código órfão aumenta custo e inconsciência de UX","DiagnosticoScreen.kt; DiagnosticScreen.tsx; App.tsx"
-,StartScreen.tsx,MAP_N_A,"Tela existe no PWA mas não está no roteamento principal atual",DEBITO_UI,P1,ajustar agora,"Duplicidade de entrada visual gera drift de layout","StartScreen.tsx; ausência em App.tsx switch"
-,RecommendScreen.tsx,MAP_N_A,"Tela PWA sem evidência de rota canônica",DEBITO_UI,P2,onda seguinte,"Pode ser fluxo antigo/experimental sem governança","RecommendScreen.tsx; ausência em App.tsx switch"
-,RoomTestScreen.tsx,MAP_N_A,"Tela PWA não mapeada no state machine principal",DEBITO_UI,P2,onda seguinte,"Manter sem integração aumenta inconsistência visual","RoomTestScreen.tsx; ausência em App.tsx switch"
-,ComparisonScreen.tsx,MAP_N_A,"Tela isolada fora da navegação principal",DEBITO_UI,P2,onda seguinte,"Requer decisão clara: integrar ou aposentar","ComparisonScreen.tsx; ausência em App.tsx switch"
-,BeforeAfterScreen.tsx,MAP_N_A,"Tela isolada fora da navegação principal",DEBITO_UI,P2,onda seguinte,"Mesmo problema de governança de fluxo","BeforeAfterScreen.tsx; ausência em App.tsx switch"
-,DetailsScreen.tsx,MAP_N_A,"Tela isolada fora da navegação principal",DEBITO_UI,P2,onda seguinte,"Não pode seguir sem contrato de navegação","DetailsScreen.tsx; ausência em App.tsx switch"
Tab model Android (Início/Velocidade/Sinal/Histórico/Ajustes),Tab model PWA (Início/Velocidade/Diagnóstico/Dispositivos/Ajustes),MAP_1_N,"Divergência estrutural do BottomNav",DECISAO_PRODUTO,P0,ajustar agora,"Se não padronizar baseline de navegação, layout drift continua","AppShell.kt:617; BottomNavBar.tsx:3"
